Depart,Arrivee,Distance
LSP,AUA,81486.5325338
MAR,AUA,285482.616034
ASF,DME,1235225.11443
ASF,LED,1902069.88634
BHK,DME,2615656.88182
DME,ASF,1235225.11443
DME,BHK,2615656.88182
DME,EGO,537056.853478
DME,FEG,2982365.39735
DME,KSQ,2775066.30426
DME,NMA,2921852.0615
DME,NVI,2624201.9467
DME,SKD,2760329.65236
DME,TIV,2001061.87678
EGO,DME,537056.853478
FEG,DME,2982365.39735
KSQ,DME,2775066.30426
LED,ASF,1902069.88634
NMA,DME,2921852.0615
NVI,DME,2624201.9467
SKD,DME,2760329.65236
TIV,DME,2001061.87678
ANU,PTP,100804.194801
CAY,FDF,1440629.90426
CUR,SDQ,698096.541091
DOM,PTP,83627.1982653
DOM,SXM,337600.624765
FDF,CAY,1440629.90426
FDF,PTP,194601.945136
FDF,SDQ,1017431.09268
FDF,SLU,63480.2071557
PTP,ANU,100804.194801
PTP,DOM,83627.1982653
PTP,FDF,194601.945136
PTP,SBH,228563.643701
PTP,SDQ,896429.299537
PTP,SFG,259861.932801
PTP,SXM,258956.694285
SBH,PTP,228563.643701
SDQ,PTP,896429.299537
SDQ,SXM,694116.692981
SFG,PTP,259861.932801
SLU,FDF,63480.2071557
SXM,DOM,337600.624765
SXM,PTP,258956.694285
SXM,SDQ,694116.692981
BHY,XIY,1436252.8481
CAN,CKG,965646.287526
CAN,CTU,1222604.79991
CAN,SPN,3517638.11801
CGO,CGQ,1395870.18636
CGO,CKG,862461.556414
CGO,CTU,1025007.45353
CGO,HGH,781330.417181
CGO,HRB,1620705.66632
CGO,KMG,1504586.95773
CGO,URC,2485603.09142
CGQ,CGO,1395870.18636
CGQ,NKG,1421926.41884
CGQ,TNA,1000564.76652
CGQ,TSN,813351.732282
CKG,CAN,965646.287526
CKG,CGO,862461.556414
CKG,CSX,662123.608472
CKG,CTU,276140.122619
CKG,CZX,1271319.58278
CKG,DLC,1707220.8179
CKG,DYG,374517.327057
CKG,HAK,1153899.3306
CKG,HGH,1328953.58268
CKG,HKT,2554649.42073
CKG,INC,976101.657841
CKG,KHN,902607.140514
CKG,KMG,651386.130361
CKG,LHW,765251.219144
CKG,LJG,702014.258143
CKG,LXA,1521731.20834
CKG,NGB,1429468.33711
CKG,NKG,1188798.7963
CKG,NNG,805292.813342
CKG,PEK,1464002.13841
CKG,PVG,1461261.08502
CKG,PZI,591897.543197
CKG,SWA,1220199.3986
CKG,SYD,8484997.13076
CKG,SYX,1300093.97936
CKG,SZX,1063149.66157
CKG,TNA,1261878.42537
CKG,TSA,1558701.91112
CKG,TSN,1432355.78446
CKG,TYN,1049777.09094
CKG,URC,2313128.60161
CKG,WUH,736198.358941
CKG,WUX,1333249.97627
CKG,XIY,562000.056099
CKG,XNN,869482.087696
CKG,YIH,473194.259154
CKG,ZHA,1016408.83371
CSX,CKG,662123.608472
CSX,CTU,936529.786936
CSX,FOC,685384.265462
CSX,KMG,1100155.37789
CSX,SHE,1728599.46295
CSX,WNZ,749496.67481
CSX,XMN,634994.371081
CTU,CAN,1222604.79991
CTU,CGO,1025007.45353
CTU,CKG,276140.122619
CTU,CSX,936529.786936
CTU,DCY,400248.318214
CTU,DSN,1169083.64852
CTU,HAK,1351825.95175
CTU,HDG,1173876.57085
CTU,HET,1344189.52155
CTU,HFE,1276343.29598
CTU,HGH,1580257.33126
CTU,HKG,1351621.869
CTU,HKT,2565715.6131
CTU,ICN,2204157.78366
CTU,INC,898814.89512
CTU,JHG,1008024.63976
CTU,JIQ,484593.403775
CTU,JZH,254582.609574
CTU,KHN,1169278.04489
CTU,KMG,632320.181589
CTU,KOW,1196586.66181
CTU,KWE,528597.711383
CTU,LHW,616611.379538
CTU,LJG,547590.616616
CTU,LUM,869842.535027
CTU,LXA,1263357.8775
CTU,LZY,936629.446193
CTU,MEL,8697458.24491
CTU,NKG,1423947.78952
CTU,NNG,980530.155952
CTU,PEK,1556027.00268
CTU,PVG,1703898.25501
CTU,PZI,495616.591008
CTU,SHE,2106969.22425
CTU,SJW,1304290.75716
CTU,SYX,1472185.99886
CTU,SZX,1318246.19634
CTU,TAO,1647733.9068
CTU,TNA,1409940.93781
CTU,TSA,1833902.52565
CTU,TSN,1545596.50273
CTU,TYN,1127377.70464
CTU,URC,2071497.5743
CTU,WNZ,1665032.57816
CTU,WUH,981181.77112
CTU,WUX,1572153.25962
CTU,WXN,427222.153027
CTU,XIC,334846.095614
CTU,XIY,622731.685965
CTU,XMN,1548827.38388
CTU,XNN,684575.571104
CTU,XUZ,1297615.52983
CTU,YIH,717000.983308
CTU,YTY,1508568.28594
CZX,CKG,1271319.58278
CZX,HRB,1622056.01013
CZX,XMN,837046.714062
CZX,ZUH,1269974.30034
DAT,TYN,267628.542036
DCY,CTU,400248.318214
DLC,CKG,1707220.8179
DLC,HGH,976635.518028
DLC,HRB,835233.215867
DLC,TNA,445757.415969
DLC,XUZ,664619.022776
DNH,LHW,912794.086812
DSN,CTU,1169083.64852
DSN,SHE,1130732.13686
DYG,CKG,374517.327057
DYG,NKG,858636.498817
FOC,CSX,685384.265462
FOC,XIY,1410951.9746
GXH,LXA,1225207.11205
GXH,XIY,584766.993443
HAK,CKG,1153899.3306
HAK,CTU,1351825.95175
HAK,HGH,1521404.02797
HAK,NGB,1560776.05513
HAK,ZUH,380493.914391
HDG,CTU,1173876.57085
HET,CTU,1344189.52155
HFE,CTU,1276343.29598
HGH,CGO,781330.417181
HGH,CKG,1328953.58268
HGH,CTU,1580257.33126
HGH,DLC,976635.518028
HGH,HAK,1521404.02797
HGH,KWE,1394373.38792
HGH,TSN,1028396.06949
HGH,TYN,1102123.60299
HKG,CTU,1351621.869
HKG,YIH,961758.520608
HKG,ZHA,386915.592072
HKT,CKG,2554649.42073
HKT,CTU,2565715.6131
HRB,CGO,1620705.66632
HRB,CZX,1622056.01013
HRB,DLC,835233.215867
HRB,INC,1843371.24978
HRB,NGB,1805412.2552
HRB,NKG,1669629.07733
HRB,NZH,799021.711483
HRB,SJW,1254485.76015
HRB,TNA,1231488.02892
HRB,TSN,1027012.87561
HRB,WNZ,2026012.5021
HRB,WUH,1952097.30477
HRB,XIY,1932534.68923
HRB,XUZ,1491999.9694
ICN,CTU,2204157.78366
INC,CKG,976101.657841
INC,CTU,898814.89512
INC,HRB,1843371.24978
INC,KWL,1522734.6619
JGN,LHW,621633.911716
JHG,CTU,1008024.63976
JHG,KMG,391885.581047
JIQ,CTU,484593.403775
JJN,KWE,1196864.67514
JJN,WUH,792914.359789
JZH,CTU,254582.609574
KHG,URC,1065974.97278
KHN,CKG,902607.140514
KHN,CTU,1169278.04489
KHN,KMG,1372574.41802
KHN,NGB,549535.294055
KMG,CGO,1504586.95773
KMG,CKG,651386.130361
KMG,CSX,1100155.37789
KMG,CTU,632320.181589
KMG,JHG,391885.581047
KMG,KHN,1372574.41802
KMG,KWE,441129.854279
KMG,LUM,430526.933647
KMG,NGB,1921694.84076
KMG,NKG,1743943.59617
KMG,TAO,2095827.09679
KMG,TNA,1905117.6004
KMG,TPE,1861324.19736
KMG,WXN,855125.256914
KMG,XIY,1200127.21798
KMG,XMN,1553253.27226
KMG,XUZ,1720117.42865
KOW,CTU,1196586.66181
KOW,XMN,353563.287396
KWE,CTU,528597.711383
KWE,HGH,1394373.38792
KWE,JJN,1196864.67514
KWE,KMG,441129.854279
KWE,LHW,1106968.85486
KWE,SYX,954194.68626
KWE,WNZ,1396921.41163
KWE,XUZ,1301234.36926
KWL,INC,1522734.6619
KWL,SJW,1517198.07381
KWL,SYX,771652.117799
LHW,CKG,765251.219144
LHW,CTU,616611.379538
LHW,DNH,912794.086812
LHW,JGN,621633.911716
LHW,KWE,1106968.85486
LHW,TSN,1253158.26904
LJG,CKG,702014.258143
LJG,CTU,547590.616616
LJG,MIG,668406.9726
LUM,CTU,869842.535027
LUM,KMG,430526.933647
LXA,CKG,1521731.20834
LXA,CTU,1263357.8775
LXA,GXH,1225207.11205
LXA,XIY,1776268.46478
LXA,XNN,1312127.8177
LYI,XIY,884800.116944
LZY,CTU,936629.446193
MEL,CTU,8697458.24491
MIG,LJG,668406.9726
MIG,NKG,1337103.92516
MIG,SYX,1533128.99882
MIG,XNN,619121.296905
NGB,CKG,1429468.33711
NGB,HAK,1560776.05513
NGB,HRB,1805412.2552
NGB,KHN,549535.294055
NGB,KMG,1921694.84076
NGB,SHE,1295432.47692
NGB,SYX,1769085.58809
NKG,CGQ,1421926.41884
NKG,CKG,1188798.7963
NKG,CTU,1423947.78952
NKG,DYG,858636.498817
NKG,HRB,1669629.07733
NKG,KMG,1743943.59617
NKG,MIG,1337103.92516
NKG,SYX,1769869.56863
NNG,CKG,805292.813342
NNG,CTU,980530.155952
NNG,SGN,1320848.87721
NNG,WUH,1088478.3326
NTG,WUH,657784.949925
NZH,HRB,799021.711483
PEK,CKG,1464002.13841
PEK,CTU,1556027.00268
PEK,WXN,1265680.8433
PEK,ZHY,1027807.62251
PVG,CKG,1461261.08502
PVG,CTU,1703898.25501
PVG,SPN,3014183.76638
PZI,CKG,591897.543197
PZI,CTU,495616.591008
SGN,NNG,1320848.87721
SHE,CSX,1728599.46295
SHE,CTU,2106969.22425
SHE,DSN,1130732.13686
SHE,NGB,1295432.47692
SHE,TYN,998422.771771
SHE,XUZ,968930.674116
SHE,YVR,8035130.68357
SJW,CTU,1304290.75716
SJW,HRB,1254485.76015
SJW,KWL,1517198.07381
SPN,CAN,3517638.11801
SPN,PVG,3014183.76638
SWA,CKG,1220199.3986
SYD,CKG,8484997.13076
SYX,CKG,1300093.97936
SYX,CTU,1472185.99886
SYX,KWE,954194.68626
SYX,KWL,771652.117799
SYX,MIG,1533128.99882
SYX,NGB,1769085.58809
SYX,NKG,1769869.56863
SYX,TNA,2199655.25864
SYX,WNZ,1582685.32021
SYX,YBP,1267905.00133
SZX,CKG,1063149.66157
SZX,CTU,1318246.19634
SZX,WXN,1057301.81377
TAO,CTU,1647733.9068
TAO,KMG,2095827.09679
TNA,CGQ,1000564.76652
TNA,CKG,1261878.42537
TNA,CTU,1409940.93781
TNA,DLC,445757.415969
TNA,HRB,1231488.02892
TNA,KMG,1905117.6004
TNA,SYX,2199655.25864
TNA,XIY,810025.421722
TPE,KMG,1861324.19736
TSA,CKG,1558701.91112
TSA,CTU,1833902.52565
TSN,CGQ,813351.732282
TSN,CKG,1432355.78446
TSN,CTU,1545596.50273
TSN,HGH,1028396.06949
TSN,HRB,1027012.87561
TSN,LHW,1253158.26904
TVS,TYN,514950.952347
TYN,CKG,1049777.09094
TYN,CTU,1127377.70464
TYN,DAT,267628.542036
TYN,HGH,1102123.60299
TYN,SHE,998422.771771
TYN,TVS,514950.952347
URC,CGO,2485603.09142
URC,CKG,2313128.60161
URC,CTU,2071497.5743
URC,KHG,1065974.97278
URC,XIY,2105195.865
UYN,XIY,433942.506832
WNZ,CSX,749496.67481
WNZ,CTU,1665032.57816
WNZ,HRB,2026012.5021
WNZ,KWE,1396921.41163
WNZ,SYX,1582685.32021
WUH,CKG,736198.358941
WUH,CTU,981181.77112
WUH,HRB,1952097.30477
WUH,JJN,792914.359789
WUH,NNG,1088478.3326
WUH,NTG,657784.949925
WUX,CKG,1333249.97627
WUX,CTU,1572153.25962
WXN,CTU,427222.153027
WXN,KMG,855125.256914
WXN,PEK,1265680.8433
WXN,SZX,1057301.81377
XIC,CTU,334846.095614
XIY,BHY,1436252.8481
XIY,CKG,562000.056099
XIY,CTU,622731.685965
XIY,FOC,1410951.9746
XIY,GXH,584766.993443
XIY,HRB,1932534.68923
XIY,KMG,1200127.21798
XIY,LXA,1776268.46478
XIY,LYI,884800.116944
XIY,TNA,810025.421722
XIY,URC,2105195.865
XIY,UYN,433942.506832
XIY,XMN,1425336.3344
XIY,XNN,649766.374472
XIY,YBP,743401.146489
